group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
hispanic,2489,536.55,424850.04,0.35,nh,fev1,5,waist_circ,false
other,342,426.38,288158.42,0.59,nh,fev1,5,waist_circ,false
All,7323,525.03,427459.80,0.41,nh,fev1,6,waist_circ,true
white,2466,418.48,286647.35,0.65,nh,fev1,6,waist_circ,true
black,1828,516.43,417911.00,0.30,nh,fev1,6,waist_circ,true
asian,198,512.10,403034.37,0.40,nh,fev1,6,waist_circ,true
hispanic,2489,645.03,585780.68,0.11,nh,fev1,6,waist_circ,true
other,342,473.42,355747.15,0.49,nh,fev1,6,waist_circ,true
All,3860,452.09,327092.61,0.55,nh3,fev1,5,waist_circ,false
white,1293,427.62,300058.59,0.64,nh3,fev1,5,waist_circ,false
black,1120,363.29,222005.74,0.64,nh3,fev1,5,waist_circ,false
hispanic,1259,564.48,459909.24,0.30,nh3,fev1,5,waist_circ,false
other,188,396.78,249625.30,0.64,nh3,fev1,5,waist_circ,false
All,3860,525.89,430919.93,0.41,nh3,fev1,6,waist_circ,true
white,1293,398.46,265729.38,0.68,nh3,fev1,6,waist_circ,true
black,1120,517.06,415576.56,0.32,nh3,fev1,6,waist_circ,true
hispanic,1259,676.65,631720.13,0.03,nh3,fev1,6,waist_circ,true
other,188,445.35,313731.23,0.54,nh3,fev1,6,waist_circ,true
All,3463,467.39,346516.85,0.52,nh4,fev1,5,waist_circ,false
white,1173,433.06,301227.35,0.62,nh4,fev1,5,waist_circ,false
black,708,639.19,576470.85,0.01,nh4,fev1,5,waist_circ,false
asian,198,522.14,430438.05,0.35,nh4,fev1,5,waist_circ,false
hispanic,1230,390.23,242094.44,0.62,nh4,fev1,5,waist_circ,false
other,154,484.84,360415.01,0.47,nh4,fev1,5,waist_circ,false
